old,url,name,awsurl
|  bard_college-04.jpg                                     |,https://sandbox.markofthelam.com/titleIX/bard_college-04.jpg,BARD COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/bard_college-04.jpg
|  bard_college-05.jpg                                     |,https://sandbox.markofthelam.com/titleIX/bard_college-05.jpg,BARD COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/bard_college-05.jpg
|  bard_college_at_simon's_rock-01.jpg                     |,https://sandbox.markofthelam.com/titleIX/bard_college_at_simon's_rock-01.jpg,BARD COLLEGE AT SIMON'S ROCK,https://title-ix.s3.us-east-2.amazonaws.com/bard_college_at_simon's_rock-01.jpg
|  bard_college_at_simon's_rock-02.jpg                     |,https://sandbox.markofthelam.com/titleIX/bard_college_at_simon's_rock-02.jpg,BARD COLLEGE AT SIMON'S ROCK,https://title-ix.s3.us-east-2.amazonaws.com/bard_college_at_simon's_rock-02.jpg
|  bard_college_at_simon's_rock-03.jpg                     |,https://sandbox.markofthelam.com/titleIX/bard_college_at_simon's_rock-03.jpg,BARD COLLEGE AT SIMON'S ROCK,https://title-ix.s3.us-east-2.amazonaws.com/bard_college_at_simon's_rock-03.jpg
|  bard_college_at_simon's_rock-04.jpg                     |,https://sandbox.markofthelam.com/titleIX/bard_college_at_simon's_rock-04.jpg,BARD COLLEGE AT SIMON'S ROCK,https://title-ix.s3.us-east-2.amazonaws.com/bard_college_at_simon's_rock-04.jpg
|  barnard_college-01.jpg                                  |,https://sandbox.markofthelam.com/titleIX/barnard_college-01.jpg,BARNARD COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/barnard_college-01.jpg
|  barnard_college-02.jpg                                  |,https://sandbox.markofthelam.com/titleIX/barnard_college-02.jpg,BARNARD COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/barnard_college-02.jpg
|  barnard_college-03.jpg                                  |,https://sandbox.markofthelam.com/titleIX/barnard_college-03.jpg,BARNARD COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/barnard_college-03.jpg
|  barnard_college-04.jpg                                  |,https://sandbox.markofthelam.com/titleIX/barnard_college-04.jpg,BARNARD COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/barnard_college-04.jpg
|  barnard_college-05.jpg                                  |,https://sandbox.markofthelam.com/titleIX/barnard_college-05.jpg,BARNARD COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/barnard_college-05.jpg
